n,trial,live_k,repr,output_k,reps,ok,cm_us,bitset_us,ratio
16,208,5,2,16,200,True,26.12949989270419,32.63099992182106,0.8007569475439466
16,209,8,1,16,10,True,540.1800037361681,79.35999892652035,6.806703768183293
16,210,7,2,16,40,True,55.96500122919679,77.13750237599015,0.7255225993240931
16,211,2,2,16,200,True,13.293499941937625,20.18999948631972,0.6584200237818231
16,212,8,1,16,10,True,804.6100032515824,62.54999898374081,12.863469485598745
16,213,6,2,16,200,True,40.76499957591295,42.88500000257045,0.9505654558346641
16,214,7,2,16,40,True,68.17500106990337,70.26249950286001,0.9702900060811007
16,215,7,2,16,40,True,43.51500247139484,69.88500244915485,0.6226658216554313
16,216,9,1,16,10,True,589.0800035558641,49.14999008178711,11.985353457358112
16,217,0,2,16,200,True,5.041499971412122,48.11450024135411,0.10478130181385496
16,218,7,2,16,200,True,48.82099980022758,48.73199970461428,1.0018263173305584
16,219,6,2,16,200,True,41.64949990808964,45.053999638184905,0.9244351276815426
16,220,4,2,16,200,True,44.27500010933727,43.55699988082051,1.0164841525008914
16,221,4,2,16,200,True,24.412000202573836,23.981999838724732,1.0179301295446914
16,222,4,2,16,200,True,31.923499773256484,34.35700025875121,0.9291701700623621
16,223,9,1,16,10,True,718.3899986557662,61.379990074783564,11.703977106879638
16,224,7,2,16,40,True,68.08500038459897,64.68249775934964,1.052603142165417
16,225,2,2,16,200,True,24.010000051930547,26.31200011819601,0.9125113995163933
16,226,4,2,16,200,True,13.356000417843461,11.934000067412853,1.1191553831404393
16,227,2,2,16,200,True,4.792000399902463,28.206499991938472,0.16988993321652937
16,228,7,2,16,200,True,54.42399997264147,45.903000282123685,1.1856305609251465
16,229,5,2,16,200,True,20.10550000704825,14.98800003901124,1.3414398155002014
16,230,6,2,16,200,True,45.18500005360693,32.09699993021786,1.4077639702104154
16,231,5,2,16,40,True,21.410000044852495,17.68500078469515,1.2106304266257661
16,232,3,2,16,200,True,27.31399959884584,28.36400002706796,0.9629812287681534
16,233,3,2,16,200,True,18.149499665014446,14.479999663308263,1.253418514297659
16,234,5,2,16,200,True,47.22100042272359,36.943499580956995,1.2781951076195355
16,235,7,2,16,200,True,47.8120002662763,62.24500015377998,0.7681259562720524
16,236,2,2,16,200,True,5.797999911010265,15.597000019624828,0.3717381486000493
16,237,4,2,16,40,True,34.96000135783106,24.037499679252505,1.4543942516619603
16,238,6,2,16,40,True,103.03999879397452,73.49499792326242,1.4020001592701672
16,239,5,2,16,40,True,65.39500027429312,66.46750262007117,0.9838642599240041
16,240,6,2,16,200,True,48.30899997614324,36.509999772533774,1.323171741361822
16,241,2,2,16,200,True,10.806999634951353,7.596500217914581,1.42262875336534
16,242,7,2,16,40,True,43.20500011090189,53.53250016923994,0.8070798108497036
16,243,6,2,16,40,True,55.44000014197081,82.88750250358135,0.6688583739095698
16,244,8,1,16,40,True,314.7799987345934,40.08249961771071,7.853302606794159
16,245,7,2,16,200,True,29.61349964607507,20.604999735951424,1.4371997100492893
16,246,5,2,16,200,True,22.04550022725016,41.32700036279857,0.5334406086509708
16,247,7,2,16,200,True,34.982499782927334,23.61499995458871,1.481367768375954
16,248,4,2,16,200,True,24.79800023138523,15.534500125795603,1.596317875089347
16,249,2,2,16,200,True,22.05749973654747,53.641999838873744,0.4111983110771842
16,250,5,2,16,200,True,45.700499904341996,41.435500024817884,1.1029310585601617
16,251,6,2,16,200,True,50.763500039465725,50.89100042823702,0.9974946378004282
16,252,4,2,16,200,True,19.338499987497926,29.716999852098525,0.650755462655908
16,253,7,2,16,200,True,50.014000153169036,65.68150012753904,0.7614625131285497
16,254,7,2,16,40,True,53.67750127334148,47.47500061057508,1.1306477216007615
16,255,1,2,16,200,True,3.567999810911715,13.855500146746635,0.2575150498446283
16,256,4,2,16,200,True,33.42050011269748,26.491500320844352,1.2615555822786364
16,257,7,2,16,40,True,67.38250085618347,59.942499501630664,1.1241189709539958
16,258,6,2,16,200,True,29.987500165589154,26.66399988811463,1.1246437253007926
16,259,5,2,16,40,True,38.66250044666231,33.92500220797956,1.1396462175489095
16,260,4,2,16,200,True,31.690499745309353,24.598499876447022,1.2883102589378996
16,261,7,2,16,40,True,40.962500497698784,40.10000266134739,1.0215086727957443
16,262,2,2,16,200,True,13.189499732106924,10.579000227153301,1.2467624018244379
16,263,7,2,16,40,True,75.302500044927,60.667499201372266,1.2412329671769906
16,264,6,2,16,40,True,56.83499912265688,65.62249909620732,0.8660901353258837
16,265,2,2,16,200,True,19.04800010379404,27.830000035464764,0.6844412533065214
16,266,7,2,16,40,True,56.01000157184899,34.43000023253262,1.6267790064934593
16,267,7,2,16,40,True,63.56999801937491,60.48500072211027,1.0510043359582355
16,268,6,2,16,40,True,79.57250054460019,72.31000054161996,1.1004356236838928
16,269,6,2,16,40,True,66.82499952148646,63.20500106085091,1.0572739245293323
16,270,6,2,16,40,True,43.745001312345266,38.73499808833003,1.129340479444212
16,271,8,1,16,10,True,675.309996586293,71.77999941632152,9.408052411222775
16,272,5,2,16,40,True,31.494998256675895,32.247501076199114,0.9766647710858247
16,273,0,2,16,200,True,3.0675000743940473,47.84949996974319,0.0641072545446395
16,274,2,2,16,200,True,28.41999987140298,29.072999604977667,0.9775393064889359
16,275,6,2,16,40,True,65.32999977935106,66.42999942414463,0.9834412215214657
16,276,9,1,16,10,True,483.300001360476,43.400004506111145,11.135943575591625
16,277,6,2,16,200,True,34.74000026471913,40.36500002257526,0.860646605853829
16,278,8,1,16,10,True,593.6099914833903,52.1400012075901,11.384924774358801
16,279,9,1,16,10,True,599.5900020934641,58.43999097123742,10.259926330046254
16,280,5,2,16,40,True,30.27999773621559,37.75249933823943,0.8020660424340447
16,281,7,2,16,40,True,50.11999746784568,55.982498452067375,0.8952797544532384
16,282,3,2,16,200,True,15.602500061504541,20.54949989542365,0.7592642225312354
