n,trial,live_k,output_k,repr_t7,repr_t16,reps,rounds,ok_t7,ok_t16,threshold7_us,threshold16_us,bitset_us,t7_over_bitset,t16_over_bitset,t16_over_t7
16,166,9,16,1,2,7,5,True,True,859.3285788914986,66.17141687976462,76.4428571398769,11.241450294290797,0.8656324391261649,0.07700362644184748
16,167,5,16,2,2,30,5,True,True,82.41666558509073,57.903335740168885,53.93000319600105,1.5282154774877146,1.073675733519379,0.7025682891815956
16,168,5,16,2,2,100,5,True,True,37.61700005270541,45.58700020425022,32.734000124037266,1.1491721118764966,1.392649845161292,1.2118722955147405
16,169,5,16,2,2,30,5,True,True,83.51666620001197,63.00999860589704,82.16000084454815,1.016512479814,0.7669181835223674,0.7544601751103902
16,170,6,16,2,2,30,5,True,True,35.76666737596194,33.329997677356005,43.216669776787356,0.8276127605550259,0.7712301260024041,0.9318731691439731
16,171,6,16,2,2,30,5,True,True,38.21333327020208,40.50333130483826,27.006666641682386,1.4149592682876013,1.4997530736475628,1.0599266758134882
16,172,8,16,1,2,30,5,True,True,505.9433363688489,46.61666850248973,44.45999705543121,11.37974291221963,1.0485081329260921,0.09213812131029765
16,173,4,16,2,2,30,5,True,True,33.22666743770242,29.386665361622967,34.27333431318402,0.9694611891006186,0.8574206726749289,0.8844301167645183
16,174,4,16,2,2,30,5,True,True,32.843331185479954,26.533333584666252,28.53666665032506,1.150916874347195,0.9297979301434638,0.8078758343610604
16,175,4,16,2,2,100,5,True,True,27.608000673353672,23.55000004172325,24.42799974232912,1.130178523193375,0.9640576506522365,0.8530135999472404
16,176,5,16,2,2,100,5,True,True,43.23099972680211,34.08599994145334,33.80500013008714,1.2788344789363169,1.0083123742134261,0.7884619869274245
16,177,2,16,2,2,100,5,True,True,22.341000149026513,17.097999807447195,25.721000274643302,0.8685898647204279,0.6647486343796289,0.7653193542542555
16,178,5,16,2,2,30,5,True,True,35.82000111540159,37.09999922042091,52.03999656563004,0.6883167463362019,0.7129131758037761,1.035734172673405
