seed_base,trial,n,live_k,output_k,repr,reps,rounds,ok,cm_us,bitset_us,ratio
13700000,187,24,10,10,3,150,5,True,9.220000356435776,7.635999936610461,1.2074385061517479
13700000,188,24,5,5,3,150,5,True,5.225999436030785,4.663333141555389,1.1206575377301322
13700000,189,24,7,7,3,150,5,True,6.619333289563656,9.011332876980305,0.7345565167693364
13700000,190,24,7,7,3,150,5,True,8.931999715665976,9.24133307610949,0.9665271927874566
13700000,191,24,8,8,3,150,5,True,12.245332666983208,5.6819998038311805,2.155109660286611
13700000,192,24,7,7,3,150,5,True,6.424000021070242,5.5839998337129755,1.1504298374591326
13700000,193,24,6,6,3,150,5,True,5.468666398276885,4.95266712581118,1.1041861403881834
13700000,194,24,1,1,3,150,5,True,4.618666134774685,8.162000061323244,0.5658743077767013
13700000,195,24,8,8,3,150,5,True,11.50666658456127,11.275333818048239,1.020516711101071
13700000,196,24,6,6,3,150,5,True,5.371333099901676,5.263333053638538,1.0205193259029044
13700000,197,24,3,3,3,150,5,True,4.451333079487085,6.120000034570694,0.7273420023435241
13700000,198,24,5,5,3,150,5,True,5.651333679755529,4.858667186150948,1.1631448426564353
13700000,199,24,8,8,3,150,5,True,8.843999821692705,8.806666204084951,1.0042392452197673
13700000,200,24,2,2,3,150,5,True,3.5206670872867107,6.518666632473469,0.5400900653130677
13700000,201,24,10,10,3,150,5,True,11.549333576112986,12.81666647021969,0.9011183682550037
13700000,202,24,1,1,3,150,5,True,4.239333017418781,7.503333811958631,0.5649932581517613
13700000,203,24,7,7,3,150,5,True,11.097333238770565,8.899999472002188,1.2468914491153396
13700000,204,24,2,2,3,150,5,True,3.8946668306986494,4.407999416192372,0.8835452238019715
13700000,205,24,7,7,3,150,5,True,7.09266634657979,7.162666879594326,0.9902270293744974
13700000,206,24,9,9,3,150,5,True,7.342666697998841,5.8473328438897925,1.2557292177529464
13700000,207,24,6,6,3,150,5,True,5.552667037894329,4.547333034376304,1.2210821147072448
13700000,208,24,5,5,3,150,5,True,8.61200038343668,8.996000202993551,0.9573143829599859
13700000,209,24,5,5,3,30,5,True,7.913331501185894,7.326668128371239,1.080072327903444
13700000,210,24,5,5,3,150,5,True,5.8933331941564875,5.484667296210925,1.0745106085519334
13700000,211,24,4,4,3,150,5,True,7.547333370894194,8.80333362147212,0.8573267463686223
13700000,212,24,6,6,3,150,5,True,6.348666890213886,5.709333345293999,1.1119804198237728
13700000,213,24,4,4,3,150,5,True,5.018000180522601,4.359999826798837,1.1509175183171685
13700000,214,24,6,6,3,150,5,True,7.6746668977042045,5.96533374240001,1.2865444297197837
13700000,215,24,6,6,3,150,5,True,7.270000254114469,5.046667065471411,1.4405547581798672
13700000,216,24,7,7,3,150,5,True,6.116666675855717,6.469999595234792,0.9453890353193674
13700000,217,24,4,4,3,150,5,True,4.824000255515178,5.2393328708906965,0.92072795800338
13700000,218,24,6,6,3,150,5,True,5.637333573152621,5.012666806578636,1.1246176517765296
13700000,219,24,2,2,3,150,5,True,6.3059998986621695,7.661333462844293,0.82309429934682
13700000,220,24,5,5,3,150,5,True,7.799333737542232,8.695332799106836,0.8969563233213294
13700000,221,24,8,8,3,150,5,True,11.31666669001182,9.779333292196194,1.1572022705313052
13700000,222,24,7,7,3,150,5,True,7.233333308249712,4.560666469236215,1.5860254980367146
13700000,223,24,6,6,3,150,5,True,9.776666605224213,5.788666506608328,1.6889324327223192
13700000,224,24,4,4,3,150,5,True,6.113999988883734,5.43400024374326,1.1251379673608644
13700000,225,24,2,2,3,150,5,True,3.5439998221894102,3.7559998842577142,0.9435569572414402
13700000,226,24,5,5,3,150,5,True,6.90266645203034,5.56066632270813,1.2413380072531732
13700000,227,24,8,8,3,150,5,True,8.400000321368378,7.929333951324225,1.0593576172896022
13700000,228,24,2,2,3,150,5,True,3.699333562205235,3.7706666626036167,0.9810820985302565
13700000,229,24,9,9,3,150,5,True,6.858666893094778,6.0513328450421495,1.1334142524839097
13700000,230,24,6,6,3,150,5,True,4.784666622678439,4.380666650831699,1.092223399780953
13700000,231,24,7,7,3,150,5,True,10.515333463748297,9.305333563437065,1.1300329420823363
13700000,232,24,6,6,3,150,5,True,9.52199955160419,9.052667301148176,1.0518446370382448
13700000,233,24,8,8,3,150,5,True,6.801999794940153,4.922666897376378,1.381771291200995
13700000,234,24,8,8,3,150,5,True,7.331333278367917,7.388000376522541,0.9923298463364052
13700000,235,24,7,7,3,150,5,True,10.13933370510737,9.407332787911098,1.0778117383215071
13700000,236,24,9,9,3,150,5,True,10.058000528564056,8.174666048338016,1.230386717829157
13700000,237,24,5,5,3,150,5,True,9.944666332254808,9.490666755785545,1.0478364258435797
13700000,238,24,5,5,3,150,5,True,5.897999896357457,7.453999326874813,0.7912530760624942
13700000,239,24,4,4,3,150,5,True,7.017999887466431,4.839333705604076,1.450199617219908
13700000,240,24,5,5,3,150,5,True,5.377333145588636,8.816667056332033,0.6099054337916384
13700000,241,24,3,3,3,150,5,True,8.54200062652429,8.164000076552233,1.0463008998563963
13700000,242,24,3,3,3,150,5,True,5.991333940376838,4.7719998595615225,1.2555184653604232
13700000,243,24,6,6,3,150,5,True,7.303999736905098,6.0533336363732815,1.206607825647807
13700000,244,24,12,12,3,150,5,True,20.80333341533939,12.837333294252554,1.6205338708977295
13700000,245,24,6,6,3,150,5,True,7.442000011603038,9.390666770438353,0.7924889886445888
13700000,246,24,11,11,3,150,5,True,8.447999910761911,7.207333110272884,1.1721395114540576
13700000,247,24,5,5,3,150,5,True,8.00466708218058,5.838666887332996,1.3709751278235665
13700000,248,24,6,6,3,150,5,True,5.565333024909099,5.13266616811355,1.0842967071350698
13700000,249,24,7,7,3,150,5,True,5.765332995603482,5.023999450107415,1.1475584447924685
13700000,250,24,5,5,3,150,5,True,6.193333150198062,5.653333694984516,1.0955187654485385
13700000,251,24,7,7,3,150,5,True,10.783333176126082,8.043999938915173,1.3405436670826654
13700000,252,24,8,8,3,150,5,True,8.656666614115238,5.410666732738415,1.599926042706751
13700000,253,24,7,7,3,150,5,True,6.669333670288324,9.229999656478565,0.7225713887873331
13700000,254,24,5,5,3,150,5,True,5.535333572576444,4.754666394243637,1.1641896851644402
13700000,255,24,7,7,3,150,5,True,6.142000202089548,5.1360003029306736,1.1958722429562236
13700000,256,24,7,7,3,150,5,True,9.541333032151064,8.825333788990974,1.0811299901260678
13700000,257,24,2,2,3,150,5,True,3.527333028614521,4.165333230048418,0.8468309337578542
13700000,258,24,9,9,3,150,5,True,7.279333658516407,8.582666826744873,0.8481435671990569
13700000,259,24,6,6,3,150,5,True,6.01133331656456,4.88466660802563,1.230653757758572
13700000,260,24,4,4,3,150,5,True,5.245332916577657,6.320000005265077,0.8299577392733964
13700000,261,24,3,3,3,150,5,True,3.6979994426170983,5.173333144436279,0.7148195059879634
13700000,262,24,6,6,3,150,5,True,5.326666869223118,5.019333524008592,1.0612299110518324
13700000,263,24,2,2,3,150,5,True,3.210000383357207,3.858666556576888,0.8318936959934864
13700000,264,24,6,6,3,150,5,True,7.379333643863598,6.316666646550099,1.1682322428545258
13700000,265,24,5,5,3,150,5,True,5.601999970773855,4.9753339650730295,1.1259545610606316
13700000,266,24,1,1,3,150,5,True,3.2220004747311277,5.177333174894253,0.6223282075712535
13700000,267,24,5,5,3,150,5,True,9.830666240304708,7.884000272800525,1.2469134830220772
13700000,268,24,4,4,3,150,5,True,8.553333270053068,8.088000273952881,1.0575337512782703
13700000,269,24,7,7,3,150,5,True,5.773333056519429,6.9686661784847574,0.8284703139237992
13700000,270,24,1,1,3,150,5,True,6.1026665692528095,6.422000005841255,0.9502750799909702
13700000,271,24,7,7,3,150,5,True,6.325333379209042,6.18466641753912,1.0227444703033626
13700000,272,24,6,6,3,150,5,True,5.6573329493403435,5.357999665041765,1.055866611237693
13700000,273,24,9,9,3,150,5,True,5.972667131572962,4.918000195175409,1.2144503648926626
13700000,274,24,4,4,3,150,5,True,6.830000008145968,4.941333706180254,1.3822179221782795
13700000,275,24,7,7,3,150,5,True,6.4286659471690655,5.317332688719034,1.2090020172722644
13700000,276,24,2,2,3,150,5,True,3.5906668441991014,4.4273328967392445,0.8110225564568789
13700000,277,24,6,6,3,150,5,True,7.231999964763721,5.826666795959076,1.2411898977609763
13700000,278,24,6,6,3,150,5,True,5.4533337242901325,5.444000319888194,1.0017144386211443
13700000,279,24,14,14,3,150,5,True,27.720666645715635,23.168666909138363,1.196472233574295
13700000,280,24,7,7,3,150,5,True,6.122000049799681,7.932667310039203,0.7717454685200237
13700000,281,24,11,11,3,150,5,True,9.471333275238672,7.833333996435006,1.209106273209993
13700000,282,24,2,2,3,150,5,True,6.0666670712331925,4.809333477169275,1.2614361428735799
13700000,283,24,6,6,3,150,5,True,5.754000352074702,5.325333525737127,1.0804957706903886
13700000,284,24,5,5,3,150,5,True,4.94133293007811,5.406666702280441,0.9139333349314723
13700000,285,24,6,6,3,150,5,True,7.495999646683534,5.434666915486257,1.3792932967655192
13700000,286,24,5,5,3,150,5,True,5.453332948187986,5.747333634644747,0.9488457247923571
13700000,287,24,8,8,3,150,5,True,6.446000188589096,5.662666323284308,1.1383330432315601
13700000,288,24,5,5,3,150,5,True,7.307333095620076,4.557999782264233,1.603188557413683
13700000,289,24,9,9,3,150,5,True,6.3413335010409355,5.533333557347457,1.1460240802979558
13700000,290,24,5,5,3,150,5,True,5.313333434363207,4.440000435958305,1.1966966019489604
13700000,291,24,1,1,3,150,5,True,6.042666112383206,4.276666635026534,1.4129383064120253
13700000,292,24,9,9,3,150,5,True,7.535333279520273,6.194666493684053,1.2164227545103734
13700000,293,24,10,10,3,150,5,True,9.794666742285091,7.585333660244942,1.2912637968214054
