trial,ambient_n,live_k,fixed_count,program_slots,program_ops,full_raw_us,bind_hit_us,prebound_eval_us,prekey_lookup_us,key_sort_hash_us,cm_wrapper_us,full_minus_prebound_us
55,32,7,25,17,9,13.279666503270466,7.094000078116854,4.160333191975951,0.9226667073865732,5.5863335728645325,12.761333491653204,9.119333311294515
56,24,2,22,5,3,8.093666595717272,3.512666638319691,1.2183332970986764,0.8930002028743427,5.186333243424694,7.747666677460074,6.875333298618595
56,32,2,30,5,3,10.988333184892934,6.301999868204197,1.1186666476229825,1.3756666642924151,5.585000229378541,5.353333350891869,9.869666537269952
57,24,6,18,12,6,6.679666694253683,2.6273331604897976,3.046999918296933,0.734000156323115,2.753000007942319,7.680999891211589,3.63266677595675
57,32,6,26,12,6,9.45266685448587,3.8653332740068436,2.87566683255136,0.681333476677537,4.889999981969595,8.45733331516385,6.577000021934509
58,24,9,15,22,12,12.515333170692125,3.5043336295833187,4.183666702980797,0.6036666066696247,2.6659997335324683,12.666666492198905,8.33166646771133
58,32,9,23,22,12,9.57966665737331,4.879666569953164,4.801999699945251,0.7183333703627188,4.001666481296222,11.577333401267728,4.777666957428058
59,24,8,16,16,8,9.86100019266208,2.6176668082674346,2.9506666275362172,0.6349997905393442,2.7836669081201157,9.31933367003997,6.910333565125864
59,32,8,24,16,8,10.14800004971524,4.521666560322046,2.559000082934896,0.7976669197281202,4.354000169162949,9.843333391472697,7.588999966780344
60,24,5,19,13,8,8.256000000983477,4.1529998028029995,2.66466677809755,0.5526666063815355,2.510666769618789,6.1160000041127205,5.591333222885927
60,32,5,27,13,8,11.54199979888896,5.174333152050774,2.463333463917176,0.993333136041959,3.9790000300854445,7.540666653464238,9.078666334971786
61,24,4,20,10,6,7.269999866063396,3.718666654701034,1.7043331172317266,0.5733334304143985,2.9806668559710183,5.286666952694456,5.56566674883167
61,32,4,28,10,6,7.069333223626018,4.968333523720503,1.684666300813357,0.810667018716534,3.565666653836767,6.144000217318535,5.38466692281266
62,24,2,22,6,4,6.773333298042417,3.4406668661783137,1.18200007515649,0.6276664013663928,2.5570000677059093,3.6943331360816956,5.591333222885926
62,32,2,30,6,4,6.649999801690379,4.556333102906744,1.0623332733909288,0.8790000962714354,4.649333423003554,4.284000024199486,5.587666528299451
63,24,8,16,17,8,6.898333473751942,2.6133330538868904,3.9306667167693377,0.5623333466549715,2.180333249270916,6.890666748707493,2.967666756982604
63,32,8,24,17,8,8.414332987740636,4.822666523978114,3.1323335133492947,0.606333293641607,4.270666589339574,8.939666828761498,5.281999474391341
64,24,9,15,20,10,7.3433333697418375,3.0826668565471964,3.67600005120039,0.4986665832499663,2.1896666536728544,9.6113335651656,3.6673333185414476
64,32,9,23,20,10,12.733333666498462,6.564666982740164,5.1016667081664,1.238000113517046,5.122333144148191,13.833666841189066,7.631666958332062
65,24,7,17,19,9,9.582333344345292,3.568000004937251,3.472333385919531,0.7236663562556108,2.9606667036811514,11.557666584849358,6.109999958425761
65,32,7,25,19,9,11.458666995167732,5.173000196615854,2.623333130031824,0.8250000731398662,4.93099990611275,11.593333523099622,8.835333865135908
66,24,6,18,13,7,7.353333445886771,3.925000006953875,3.0750001315027475,0.8723333788414797,3.7786667235195637,9.774666589995226,4.278333314384024
66,32,6,26,13,7,11.974999991556007,6.4446664570520324,3.611666616052389,1.1970001893738906,5.038333280632893,10.698999976739287,8.363333375503618
67,24,8,16,19,10,9.042333501080671,3.6253333867837987,4.154666482160488,0.8053332567214966,3.1486665830016136,13.240000310664374,4.887667018920183
67,32,8,24,19,10,9.598333466177186,4.033000053217013,3.4573336597532034,0.6926665082573891,4.6550001328190165,10.361666403089961,6.140999806423983
68,24,5,19,10,5,6.75766651208202,3.3569999504834414,1.3503335261096556,0.5073333159089088,2.5770002199957767,5.832666841646036,5.4073329859723644
