n,depth,trial,live_k,declined,ok,cm_us,bitset_us,ratio,output_k
24,4,259,2,False,True,2.444409765303135,2.8096558526158333,0.8700032650003563,2
24,4,260,8,False,True,3.7697097286581993,3.9218598976731296,0.9612045883879732,8
24,4,261,3,False,True,2.448109444230795,3.2382598146796227,0.7559953753967078,3
24,4,262,8,False,True,4.6695140190422535,4.19276300817728,1.113708075065333,8
24,4,263,6,False,True,3.778059035539627,3.6212080158293247,1.0433145566409503,6
24,4,264,5,False,True,3.9113662205636497,4.139260854572058,0.9449431572410604,5
24,4,265,8,False,True,4.92666382342577,4.47756377980113,1.1003000885549834,8
24,4,266,8,False,True,4.454315640032291,4.004510119557381,1.1123247306276325,8
24,4,267,6,False,True,3.595661837607622,3.5022106021642685,1.0266834996689245,6
24,4,268,7,False,True,4.257461987435818,3.831658978015184,1.1111275851697016,7
24,4,269,3,False,True,2.6830052956938744,3.2807583920657635,0.8178003300037259,3
24,4,270,5,False,True,3.3515598624944687,3.530164249241352,0.9494062105508926,5
24,4,271,7,False,True,3.7767644971609116,3.5709585063159466,1.0576332630247471,7
24,4,272,6,False,True,3.533461131155491,3.4460588358342648,1.0253629724519973,6
24,4,273,5,False,True,3.094710409641266,3.2996106892824173,0.9379016802477046,5
24,4,274,1,False,True,1.9202055409550665,2.8258096426725388,0.6795240245337305,1
24,4,275,6,False,True,3.262611571699381,3.0560605227947235,1.0675873554741544,6
24,4,276,2,False,True,2.41890549659729,2.672211267054081,0.9052074311713976,2
24,4,277,7,False,True,3.757961094379425,3.4349109046161175,1.0940490739742816,7
24,4,278,5,False,True,3.0645611695945263,3.1692557968199253,0.9669655484008419,5
24,4,279,6,False,True,3.2894103787839413,3.492860123515129,0.9417526790261384,6
